index,price,type,size,municipality,district
1204,800,1,49.0,Estrela,Lisboa
1205,700,1,49.0,Estrela,Lisboa
1206,2500,3,160.0,Avenidas Novas,Lisboa
1207,3000,4,200.0,Avenidas Novas,Lisboa
1208,900,2,80.0,Marvila,Lisboa
1209,850,2,105.0,Bonfim,Porto
1210,2800,5,225.1,Parque das Nações,Lisboa
1211,750,2,88.05,São Nicolau e Vitória,Porto
1212,750,3,64.0,Loures,Lisboa
1213,750,1,58.0,Mafra,Lisboa
1214,2200,2,116.0,Misericórdia,Lisboa
1215,1500,2,74.7,Arroios,Lisboa
1216,1500,3,150.0,Penha de França,Lisboa
1217,1125,2,90.0,Belém,Lisboa
1218,2950,4,189.0,Alvalade,Lisboa
1219,790,1,59.0,Mafra,Lisboa
1221,1400,2,138.0,Cascais,Lisboa
1222,850,2,80.0,Oeiras,Lisboa
1223,1800,2,84.0,Parque das Nações,Lisboa
1224,1100,1,70.0,Santo António,Lisboa
1225,1000,2,85.0,Cascais,Lisboa
1226,1350,1,56.0,São Vicente,Lisboa
1227,1750,3,143.0,Cascais,Lisboa
1228,750,2,75.0,Sintra,Lisboa
1229,750,2,60.0,Amadora,Lisboa
1230,5000,5,270.0,Avenidas Novas,Lisboa
1231,1100,1,64.0,Estrela,Lisboa
1232,1490,2,100.0,Belém,Lisboa
1233,2000,3,159.0,Foz do Douro e Nevogilde,Porto
1234,1200,1,126.0,Santa Maria Maior,Lisboa
1235,700,2,85.0,Gondomar,Porto
1236,650,2,79.0,Glória e Vera Cruz,Aveiro
1237,900,3,87.0,Oeiras,Lisboa
1238,1200,2,72.0,Areeiro,Lisboa
1239,800,3,135.0,Glória e Vera Cruz,Aveiro
1240,1200,2,74.0,Campo de Ourique,Lisboa
1241,850,2,73.0,Matosinhos,Porto
1242,2950,6,263.0,Avenidas Novas,Lisboa
1243,3250,5,248.0,Avenidas Novas,Lisboa
1244,1100,2,70.0,Benfica,Lisboa
1245,3750,5,340.0,Avenidas Novas,Lisboa
1246,1350,3,90.0,Arroios,Lisboa
1247,1350,4,90.0,Arroios,Lisboa
1248,2500,2,134.5,Avenidas Novas,Lisboa
1249,1000,1,52.0,Mafra,Lisboa
1250,2250,3,127.0,Cascais,Lisboa
1251,1100,2,100.0,Cascais,Lisboa
1252,850,1,145.0,Cascais,Lisboa
1253,4250,2,159.0,Cascais,Lisboa
1254,1100,2,85.0,Belém,Lisboa
1255,950,1,50.0,Cascais,Lisboa
1257,1200,1,61.0,São Nicolau e Vitória,Porto
1258,1700,3,100.0,Estrela,Lisboa
1259,800,1,68.0,Matosinhos,Porto
1260,850,2,95.0,Vila do Conde,Porto
1261,800,1,64.0,São Nicolau e Vitória,Porto
1262,1200,3,90.0,Olivais,Lisboa
1263,400,3,110.0,Castelo Branco,Castelo Branco
1264,1800,3,140.0,Campo de Ourique,Lisboa
1265,1800,3,140.0,Campolide,Lisboa
1266,1300,2,109.0,Ramalde,Porto
1267,1300,2,100.0,Ramalde,Porto
1268,2200,2,94.0,Avenidas Novas,Lisboa
1269,690,2,57.0,Campo de Ourique,Lisboa
1270,3000,3,155.0,Lordelo do Ouro e Massarelos,Porto
1271,4000,5,254.0,Matosinhos,Porto
1272,800,1,46.0,Arroios,Lisboa
1273,6000,4,334.8,Penha de França,Lisboa
1275,850,1,67.0,Misericórdia,Lisboa
1276,950,1,75.0,Misericórdia,Lisboa
1277,2400,2,112.6,Arroios,Lisboa
1278,1650,4,150.0,Alvalade,Lisboa
1279,1900,3,250.0,Estrela,Lisboa
1280,1500,3,110.0,Cascais,Lisboa
1281,2000,2,80.0,Parque das Nações,Lisboa
1282,1500,3,130.0,Alvalade,Lisboa
1283,700,1,59.0,Marvila,Lisboa
1284,1600,2,100.0,Avenidas Novas,Lisboa
1285,950,1,69.0,Santa Maria Maior,Lisboa
1286,3800,3,167.0,Santo António,Lisboa
1287,800,3,139.0,Paranhos,Porto
1288,1500,3,126.75,Vila Nova de Gaia,Porto
